# nocreadbench arch=wormhole grid=8x8 num_tx=64 repeats=3 mode=stateless sim=0
# every row is one timed burst; cycles_per_tx = cycles / num_tx
# mode is what the KERNEL stamped; probe_word says which tile answered a
# transaction issued with the state pointed elsewhere, so it is stateless
# iff probe_word == sig_src and stateful iff probe_word == sig_witness
experiment,repeat,point,mst_x,mst_y,mst_node_x,mst_node_y,num_src,src0_x,src0_y,hops,num_tx,tx_bytes,dst_stride,src_stride,cycles,cycles_per_tx,outstanding_max,outstanding_end,samples,cmdbuf_avail_rest,cmdbuf_avail_busy,outstanding_rest,outstanding_delta,inflight_max,inflight_rest,trid,cmdbuf_avail_max,cmdbuf_ovfl_rest,cmdbuf_ovfl_end,mode,probe_word,sig_src,sig_witness
size,1,4,0,0,1,1,1,25,18,7,64,1024,0,0,3100,48.438,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,1,5,0,0,1,1,1,25,18,7,64,2048,0,0,4524,70.688,15,15,64,0xFFFFFFFF,0xFFFFFFFF,0,15,10,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,1,6,0,0,1,1,1,25,18,7,64,4096,0,0,8723,136.297,39,39,64,0xFFFFFFFF,0xFFFFFFFF,0,39,37,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dist,1,7,0,0,1,1,1,19,18,1,64,64,0,0,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
dist,1,8,0,0,1,1,1,20,18,2,64,64,0,0,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1412,0x5A5A1412,0x5A5A1313
dist,1,9,0,0,1,1,1,21,18,3,64,64,0,0,3069,47.953,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1512,0x5A5A1512,0x5A5A1313
dist,1,10,0,0,1,1,1,22,18,4,64,64,0,0,3069,47.953,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1612,0x5A5A1612,0x5A5A1313
dist,1,11,0,0,1,1,1,23,18,5,64,64,0,0,3073,48.016,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1712,0x5A5A1712,0x5A5A1313
dist,1,12,0,0,1,1,1,24,18,6,64,64,0,0,3066,47.906,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1812,0x5A5A1812,0x5A5A1313
dist,1,13,0,0,1,1,1,25,18,7,64,64,0,0,3073,48.016,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dist,1,14,0,0,1,1,1,18,19,1,64,64,0,0,3085,48.203,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1213,0x5A5A1213,0x5A5A1313
dist,1,15,0,0,1,1,1,18,20,2,64,64,0,0,3085,48.203,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1214,0x5A5A1214,0x5A5A1313
dist,1,16,0,0,1,1,1,18,21,3,64,64,0,0,3083,48.172,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1215,0x5A5A1215,0x5A5A1313
dist,1,17,0,0,1,1,1,18,22,4,64,64,0,0,3086,48.219,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1216,0x5A5A1216,0x5A5A1313
dist,1,18,0,0,1,1,1,18,23,5,64,64,0,0,3086,48.219,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1217,0x5A5A1217,0x5A5A1313
dist,1,19,0,0,1,1,1,18,24,6,64,64,0,0,3092,48.312,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1218,0x5A5A1218,0x5A5A1313
dist,1,20,0,0,1,1,1,18,25,7,64,64,0,0,3096,48.375,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,3,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1219,0x5A5A1219,0x5A5A1313
srcfan,1,21,0,0,1,1,1,19,18,1,64,64,0,0,3071,47.984,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
srcfan,1,22,0,0,1,1,2,19,18,1,64,64,0,0,3070,47.969,3,2,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
srcfan,1,23,0,0,1,1,4,19,18,1,64,64,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1312,0x5A5A1312,0x5A5A1313
dstspread,1,24,0,0,1,1,1,25,18,7,64,64,0,0,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,1,25,0,0,1,1,1,25,18,7,64,64,64,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,1,26,0,0,1,1,1,25,18,7,64,64,128,0,3069,47.953,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
dstspread,1,27,0,0,1,1,1,25,18,7,64,64,512,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,1,28,0,0,1,1,1,25,18,7,64,64,0,0,3066,47.906,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,1,29,0,0,1,1,1,25,18,7,64,64,0,64,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,1,30,0,0,1,1,1,25,18,7,64,64,0,128,3067,47.922,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
srcspread,1,31,0,0,1,1,1,25,18,7,64,64,0,512,3075,48.047,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
burst,1,32,0,0,1,1,1,25,18,7,4,64,0,0,368,92.000,3,3,4,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
burst,1,33,0,0,1,1,1,25,18,7,16,64,0,0,911,56.938,3,3,16,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
burst,1,34,0,0,1,1,1,25,18,7,64,64,0,0,3072,48.000,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
burst,1,35,0,0,1,1,1,25,18,7,128,64,0,0,5948,46.469,3,3,128,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,0,0,0,1,1,1,25,18,7,64,64,0,0,3066,47.906,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
size,2,1,0,0,1,1,1,25,18,7,64,128,0,0,3070,47.969,3,3,64,0xFFFFFFFF,0xFFFFFFFF,0,3,2,0,0,0xFFFFFFFF,0xFFFFFFFF,0xFFFFFFFF,stateless,0x5A5A1912,0x5A5A1912,0x5A5A1313
